Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-08-06,194.625,198.25,191.9375,192.25,192.25,340976,121
2018-08-07,195.25,196.8125,193.125,193.375,193.375,206176,122
2018-08-08,188.625,188.875,178.375,181.25,181.25,648544,123
2018-08-09,183.125,184.5,180.3125,180.6875,180.6875,221376,124
2018-08-10,183.875,186.8125,183.5625,185.6875,185.6875,235008,125
2018-08-13,184,185.125,175.6875,183.875,183.875,373472,126
2018-08-14,189.4375,189.4375,180.9375,183.5625,183.5625,278464,127
2018-08-15,178.4375,178.4375,169.75,172.0625,172.0625,397488,128
2018-08-16,173.3125,175.375,172.125,174.8125,174.8125,243568,129
2018-08-17,179.125,179.3125,173.9375,176.0625,176.0625,320864,130
2018-08-20,175.75,178.5625,175,177.0625,177.0625,223424,131
2018-08-21,182.0625,182.5,178.625,179.125,179.125,254480,132
2018-08-22,186.6875,191.4375,184.9375,190.5,190.5,458400,133
2018-08-23,188.8125,191.4375,187.625,190.625,190.625,256624,134
2018-08-24,196.9375,198.5625,192.5625,194.375,194.375,482704,135
2018-08-27,196.1875,196.6875,194.375,196.5,196.5,204880,136
2018-08-28,197.125,197.125,192.625,194.8125,194.8125,201104,137
2018-08-29,197.5625,201,195.75,200.75,200.75,291552,138
2018-08-30,202,205,200.375,202.75,202.75,251712,139
2018-08-31,202.4375,203.6875,200.25,201.6875,201.6875,161216,140
2018-09-04,206,206.4375,197.625,198.875,198.875,370528,141
2018-09-05,198.8125,200.375,194.875,196.1875,196.1875,258912,142
2018-09-06,195.625,196.375,185.8125,191.3125,191.3125,396320,143
2018-09-07,187,191.4375,185.625,191.1875,191.1875,249616,144
2018-09-10,194,194.8125,188.5625,189.625,189.625,273696,145
2018-09-11,191,200.5625,190.1875,199.6875,199.6875,362192,146
2018-09-12,203.875,209.625,203.3125,204.5,204.5,421968,147
2018-09-13,200,201.5625,193.75,196.4375,196.4375,389904,148
2018-09-14,196.125,202.4375,191.625,196.9375,196.9375,371456,149
2018-09-17,199.4375,201.1875,194.5625,195.9375,195.9375,288640,150
2018-09-18,201.875,205.1875,199.125,201.75,201.75,360384,151
2018-09-19,203.25,208.9375,203.125,208.75,208.75,335440,152
2018-09-20,211.0625,211.5625,204.375,205,205,301072,153
2018-09-21,210.1875,214.6875,204.125,209.125,209.125,643104,154
2018-09-24,216.6875,220.3125,215,217.5,217.5,408000,155
2018-09-25,219.125,220.625,215.375,217.875,217.875,402560,156
2018-09-26,215.0625,217.0625,212.875,213.5,213.5,347520,157
2018-09-27,217.5,217.6875,214.3125,217.375,217.375,232144,158
2018-09-28,217.125,226.25,216.75,224.75,224.75,409024,159
2018-10-01,224.1875,238.875,222.75,237.375,237.375,514240,160
2018-10-02,237.3125,237.5,233.6875,235,235,318416,161
2018-10-03,234.5625,246,229.875,241.3125,241.3125,593376,162
2018-10-04,239.5625,239.625,226.9375,231.0625,231.0625,524064,163
2018-10-05,230.375,235.125,226.9375,229.9375,229.9375,424544,164
2018-10-08,225.4375,229.625,224.625,228.9375,228.9375,238832,165
2018-10-09,232.0625,235.4375,227.75,232.8125,232.8125,285600,166
2018-10-10,231.5,231.625,220,220.375,220.375,319568,167
2018-10-11,215.5,216.75,206.3125,207.9375,207.9375,468544,168
2018-10-12,213,213.4375,206.75,212.25,212.25,296816,169
2018-10-15,212.3125,214.1875,208.5,212.875,212.875,292608,170
2018-10-16,211.8125,217.125,210.75,214.6875,214.6875,227504,171
2018-10-17,211.0625,211.25,201.25,205.1875,205.1875,427312,172
2018-10-18,197.4375,203,196.5625,197.9375,197.9375,347408,173
2018-10-19,201.5,204.4375,199.875,202.3125,202.3125,231664,174
2018-10-22,199.4375,203.125,196.6875,203,203,210112,175
2018-10-23,192.5625,193.4375,181.25,184.5,184.5,451168,176
2018-10-24,189.25,191.8125,184,184.0625,184.0625,280560,177
2018-10-25,187.6875,191.375,186.9375,188.3125,188.3125,210640,178
2018-10-26,186,192.6875,184.4375,191.8125,191.8125,281648,179
2018-10-29,189.3125,190.375,184.25,185.875,185.875,250208,180
2018-10-30,180.3125,187.25,179.6875,183.5,183.5,300816,181
2018-10-31,182.375,185.875,176.9375,177.375,177.375,384672,182
2018-11-01,178.75,178.9375,166.5625,168.625,168.625,467376,183
2018-11-02,167.625,170.0625,164.1875,165.1875,165.1875,387808,184
2018-11-05,169.6875,171.9375,164.625,164.9375,164.9375,365520,185
2018-11-06,167,167.625,157.3125,161.8125,161.8125,722832,186
2018-11-07,163.8125,165,156.9375,158.75,158.75,715664,187
2018-11-08,157.3125,158.9375,153.125,153.875,153.875,665616,188
2018-11-09,148.75,153.5,147.25,150.25,150.25,583776,189
2018-11-12,154.125,156.6875,144.125,145.375,145.375,751536,190
2018-11-13,143.5,144.9375,125,126.9375,126.9375,1637728,191
2018-11-14,133.6875,137,130.75,132.0625,132.0625,543504,192
2018-11-15,133,136.75,131.8125,133,133,525424,193
2018-11-16,137.5625,139.9375,130.375,134.6875,134.6875,592112,194
2018-11-19,130.375,137.3125,126.5,136.1875,136.1875,871568,195
2018-11-20,129.4375,131,114.625,117.1875,117.1875,1229344,196
2018-11-21,122.0625,128.3125,120.0625,122.1875,122.1875,655728,197
2018-11-23,108.375,109.625,104.75,107.9375,107.9375,934672,198
2018-11-26,109.5,111.5,108.25,109.3125,109.3125,527888,199
2018-11-27,109.625,112.125,103.5,109.6875,109.6875,785056,200
2018-11-28,107.4375,111,102.4375,103.875,103.875,1297280,201
2018-11-29,107.0625,111.125,105.6875,107.75,107.75,663488,202
2018-11-30,102.9375,108.8125,100.625,105,105,1282912,203
2018-12-03,115.3125,115.5625,110.625,115.4375,115.4375,915984,204
2018-12-04,115.125,117.25,113.1875,114.1875,114.1875,690608,205
2018-12-06,107.0625,110,102,108.9375,108.9375,1078976,206
2018-12-07,117,119.3125,111.375,112,112,838160,207
2018-12-10,107.25,110.3125,103.875,104.8125,104.8125,551024,208
2018-12-11,110.4375,111.5,106.8125,108.625,108.625,416160,209
2018-12-12,111.25,112.375,105.6875,106.1875,106.1875,564848,210
2018-12-13,104.75,115,104.375,113.9375,113.9375,673408,211
2018-12-14,111.5,111.5625,105.5,106.5625,106.5625,616112,212
2018-12-17,107.5,107.9375,98.625,99.25,99.25,811696,213
2018-12-18,98.4375,98.5625,85.75,87.25,87.25,1320352,214
2018-12-19,89.75,93.875,89.0625,90.625,90.625,683536,215
2018-12-20,86.8125,89.5,83.75,85.3125,85.3125,772064,216
2018-12-21,83.5,85.9375,81.9375,82.75,82.75,503920,217
2018-12-24,81.125,81.5625,77.5,77.6875,77.6875,333296,218
2018-12-26,76.3125,87.4375,76.25,87.375,87.375,869488,219
2018-12-27,81.8125,82.75,78.125,82.5,82.5,695456,220
2018-12-28,80.6875,82.5,78.125,80.5625,80.5625,662752,221
2018-12-31,82.1875,83.625,79.1875,83.125,83.125,652576,222
2019-01-02,78.75,90.0625,78,86.0625,86.0625,987728,223
2019-01-03,88.6875,88.875,82.6875,87.875,87.875,584096,224
2019-01-04,91.6875,95.5,89.75,91.8125,91.8125,913984,225
2019-01-07,93.5,97.75,92.8125,93.5625,93.5625,665072,226
2019-01-08,96.25,98.375,94.9375,97.5625,97.5625,559296,227
2019-01-09,103.1875,108.625,101.0625,107.625,107.625,1048432,228
2019-01-10,104.875,109.5625,104,108.5,108.5,657488,229
2019-01-11,106.25,107.875,103.0625,105.0625,105.0625,645760,230
2019-01-14,103.25,105.4375,99.8125,100.75,100.75,541216,231
2019-01-15,103.625,107.3125,103.625,106.4375,106.4375,461808,232
2019-01-16,105.6875,107.9375,103.25,107.625,107.625,575856,233
2019-01-17,104.3125,108.5625,102.125,107,107,810464,234
2019-01-18,108.875,113.625,107.4375,112.8125,112.8125,808064,235
2019-01-22,108.375,109.5625,105,109,109,611280,236
2019-01-23,109.875,110.125,104.25,107.375,107.375,594288,237
2019-01-24,107.5625,110.75,107.0625,109.6875,109.6875,430256,238
2019-01-25,110.5,112.25,109.4375,111.1875,111.1875,316848,239
2019-01-28,104.9375,105.625,102,105.375,105.375,770672,240
2019-01-29,108.5625,112.4375,108.5625,109.3125,109.3125,552272,241
2019-01-30,112.75,116.625,111.875,114.1875,114.1875,572352,242
2019-01-31,115.75,118.5,111.25,112.9375,112.9375,652176,243
2019-02-01,113.75,119.6875,113.75,118.4375,118.4375,538288,244
2019-02-04,113.5,116.1875,109.75,115.8125,115.8125,718432,245
2019-02-05,111.375,115.375,110.5625,111.4375,111.4375,642240,246
2019-02-06,110,113.875,108.625,112.375,112.375,543648,247
2019-02-07,110.8125,111.5,103.5625,107.125,107.125,646352,248
2019-02-08,108.0625,108.375,105.25,107.375,107.375,412176,249
2019-02-11,103,107,101.5625,106,106,538640,250
2019-02-12,112.25,112.5,108.4375,109.0625,109.0625,502848,251
2019-02-13,111.625,114.9375,111.625,112.6875,112.6875,530496,252
2019-02-14,111.4375,115.125,109.5625,114.875,114.875,556400,253
2019-02-15,117.875,120.25,117.1875,120,120,495312,254
2019-02-19,118.375,121.3125,118.0625,121,121,329152,255
2019-02-20,119.625,125.75,119.625,123.8125,123.8125,393376,256
2019-02-21,123.25,124.125,121.875,122.875,122.875,289408,257
2019-02-22,125.3125,126.5,124.0625,124.1875,124.1875,322192,258
2019-02-25,119.6875,120.5625,115.1875,116.4375,116.4375,634624,259
2019-02-26,117,118.875,116,117.625,117.625,359184,260
2019-02-27,121.5625,124.5625,120.1875,122.75,122.75,493056,261
2019-02-28,123.125,124.5625,121.75,123.625,123.625,253776,262
2019-03-01,123.625,125.1875,116.75,117.6875,117.6875,730816,263
2019-03-04,121.375,122.6875,118.1875,120.5,120.5,393888,264
2019-03-05,122.625,123,119.75,120.625,120.625,287296,265
2019-03-06,118.6875,120.25,116.25,119.375,119.375,434256,266
2019-03-07,121.0625,121.5,119.5,120.5,120.5,298368,267
2019-03-08,114.3125,119.0625,112.0625,118.75,118.75,882768,268
2019-03-11,121.75,122.375,119.75,121.5625,121.5625,419904,269
2019-03-12,123.4375,124.625,121.375,121.9375,121.9375,419552,270
2019-03-13,125.125,128.625,125.0625,128.1875,128.1875,773424,271
2019-03-14,128.6875,129.75,127.125,128.5625,128.5625,273872,272
2019-03-15,126.125,129.1875,125.5625,128.4375,128.4375,329872,273
2019-03-18,129,131.875,128.5625,130.875,130.875,314224,274
2019-03-19,132.25,132.8125,129.1875,129.9375,129.9375,366640,275
2019-03-20,129.875,135.125,129.5625,134.5625,134.5625,488144,276
2019-03-21,134.3125,135.6875,132.5,133.125,133.125,324832,277
2019-03-22,130.6875,130.6875,126.3125,129.125,129.125,681680,278
2019-03-25,128,131,125.9375,129.25,129.25,453696,279
2019-03-26,134.3125,135.5,132.4375,134,134,422272,280
2019-03-27,134.125,134.8125,128.625,131.0625,131.0625,392992,281
2019-03-28,127.1875,131.25,127.125,131.125,131.125,442592,282
2019-03-29,135.6875,135.8125,132.75,134.5625,134.5625,313392,283
2019-04-01,137.0625,141.5,136.1875,141.25,141.25,404272,284
2019-04-02,142.75,146.25,142.1875,145.75,145.75,489776,285
2019-04-03,145.4375,146.5625,143.0625,145.0625,145.0625,505728,286
2019-04-04,144.9375,146.25,142.3125,143.4375,143.4375,367440,287
2019-04-05,145.0625,148.9375,144.625,148.75,148.75,557280,288
2019-04-08,150.3125,154,150.3125,153.9375,153.9375,520672,289
2019-04-09,152.9375,153.375,150.4375,152.3125,152.3125,326064,290
2019-04-10,153.75,155.4375,152.5,154.5625,154.5625,282336,291
2019-04-11,152.9375,153.8125,149.375,151.25,151.25,701952,292
2019-04-12,153.625,154.1875,151.8125,152.25,152.25,363008,293
2019-04-15,150.5625,151.75,148.75,150.75,150.75,351760,294
2019-04-16,150.625,153.75,148.5,153.5625,153.5625,393696,295
2019-04-17,153.6875,153.9375,151.25,151.625,151.625,433216,296
2019-04-18,152.125,152.8125,150.5,152.625,152.625,236240,297
2019-04-22,159,161.1875,158.5625,159.75,159.75,469536,298
2019-04-23,160.625,163.75,160.625,162.8125,162.8125,336128,299
2019-04-24,163.25,163.3125,160.125,160.5,160.5,288832,300
2019-04-25,160.625,161.5625,156.625,157.0625,157.0625,264128,301
2019-04-26,153.6875,153.6875,143.9375,147,147,878480,302
2019-04-29,148.5,150.6875,146.4375,150.1875,150.1875,303136,303
2019-04-30,152.6875,153,148.9375,151.625,151.625,402128,304
2019-05-01,151.375,151.8125,146.5,150.0625,150.0625,319376,305
2019-05-02,143.1875,143.625,137.9375,140.75,140.75,871728,306
2019-05-03,142.125,145.0625,141.5625,141.9375,141.9375,361568,307
2019-05-06,140.625,147.1875,140.3125,146.5,146.5,328080,308
2019-05-07,140.25,141.5,136.75,139.1875,139.1875,516080,309
2019-05-08,140.125,144.4375,139.4375,142.5,142.5,426160,310
